name,district,locationCode,primaryAddressLine,stateCode,zip,accessibilityCode,accessibilityDescription,profile,website,boroughNumber,boroughName,phoneNumber,size,grades,campus,distance,networkCode,networkLead,networkLeadPhone,networkLeadEmail,rank,displayName,point/objectId1,point/objectId,point/x,point/y,point/schoolName,point/boroughNumber,point/locationCode,point/district,point/zip,point/neighborhood,point/shape,dUSInformation/locationCode,dUSInformation/schoolName,dUSInformation/borough,dUSInformation/highSchool/schoolDirectoryYear,dUSInformation/highSchool/stage,dUSInformation/highSchool/email,dUSInformation/highSchool/indepedentWebsite,dUSInformation/highSchool/schoolType,dUSInformation/highSchool/accessibility,dUSInformation/highSchool/eLLProgramsESL,dUSInformation/highSchool/interestAreas,dUSInformation/highSchool/selectionMethods,dUSInformation/middleSchool/schoolDirectoryYear,childhoodCenter/objectId,childhoodCenter/locationCode,childhoodCenter/borough,childhoodCenter/district,childhoodCenter/name,childhoodCenter/phone,childhoodCenter/address,childhoodCenter/zip,childhoodCenter/dayLength,childhoodCenter/sPCoordX,childhoodCenter/sPCoordY,childhoodCenter/pjAreaName,childhoodCenter/boroCode,childhoodCenter/bin,childhoodCenter/bbl,childhoodCenter/seats,childhoodCenter/email,childhoodCenter/prekType,isChildhoodCenter,dayLength,managedBy,seats,prekType,childhoodCenter/dchDcId,childhoodCenter/contract,childhoodCenter/webSite,childhoodCenter/taxId,childhoodCenter/pepApproved,optCode
Dominican Women's Development Center,6,MAXV,2346 Amsterdam Avenue,NY,10033,,,,,1,Manhattan,(212) 994-6060,0,PK,,0,,,,,100,Dominican Women's Development Center (MAXV),0,1069,-8230211.4598,4989553.1751,Dominican Women's Development Center,1,MAXV,6,10033,Washington Heights South,1069,,,,,,,,,,,,,,1212,MAXV,M,6,Dominican Women's Development Center,(212) 994-6060,2346 Amsterdam Avenue,10033,1,1002718,247257,Washington Heights South,1,1063193,1021320047,36,dwdcinfo@gmail.com,NYCEEC,true,1,99,36,NYCEEC,,,,,,
Dos Puentes Elementary School,06,M103,185 WADSWORTH AVENUE,NY,10033,,,http://schools.nyc.gov/SchoolPortals/06/M103/default.htm,,1,Manhattan,212-781-1803,200,"0K,01,02,SE",,0,N606,"Palazzo, Petrina",718-794-4907,PPalazz@schools.nyc.gov,100,Dos Puentes Elementary School (M103),0,2918,-8230300.1713,4990339.977,Dos Puentes Elementary School,1,M103,6,10033,Washington Heights North,2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,06103
Dr. Jacqueline Peek-Davis School,23,K012,430 HOWARD AVENUE,NY,11233,,,http://schools.nyc.gov/SchoolPortals/23/K012/default.htm,,3,Brooklyn,718-953-4569,235,"PK,0K,01,02,03,04,05,SE",,0,N401,"GROLL, CHRISTOP/MARKS, ROXANNE",212-769-7500,CGroll@schools.nyc.gov; Rmarks@schools.nyc.gov,100,Dr. Jacqueline Peek-Davis School (K012),0,2556,-8228717.8056,4964225.6968,P.S. 012,3,K012,23,11233,Ocean Hill,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,17012
Dr. Katharine Dodge Brownell School,8,XAHF,450 Castle Hill Avenue,NY,10473,,,,,2,Bronx,(718) 430-7938,0,PK,,0,,,,,100,Dr. Katharine Dodge Brownell School (XAHF),0,1111,-8220629.6176,4985343.0851,Dr. Katharine Dodge Brownell School,2,XAHF,8,10473,Soundview-Castle Hl-Clason Pt-Hardng Pk,1111,,,,,,,,,,,,,,1229,XAHF,X,8,Dr. Katharine Dodge Brownell School,(718) 430-7938,450 Castle Hill Avenue,10473,1,1026551,236861,Soundview-Castle Hl-Clason Pt-Hardng Pk,2,2021209,2035110030,20,sarmstrong-walker2@leakeandwatts.org,NYCEEC,true,1,99,20,NYCEEC,,,,,,
Dr. Richard Izquierdo Health and Science Charter School,12,X482,800 HOME STREET,NY,10456,,,http://schools.nyc.gov/SchoolPortals/12/X482/default.htm,,2,Bronx,718-378-0490,0,"06,07,08,09,10,11,SE",,0,,,,,100,Dr. Richard Izquierdo Health and Science Charter School (X482),0,2797,-8226524.0877,4986927.2296,Dr. Izquierdo Health and Science Charter School,2,X482,12,10456,Longwood,2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,2,,,,,,,,12568
Dr. Susan S. McKinney Secondary School of the Arts,13,K265,101 PARK AVENUE,NY,11205,,,http://schools.nyc.gov/SchoolPortals/13/K265/default.htm,,3,Brooklyn,718-834-6760,416,"06,07,08,09,10,11,12,SE",,0,N112,"Pelles, Kathy",718-923-5102,KRehfield@schools.nyc.gov,100,Dr. Susan S. McKinney Secondary School of the Arts (K265),0,1354,-8234964.9083,4967715.6193,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,3,K265,13,11205,Fort Greene,1354,K265,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,7810,Published,13K265@schools.nyc.gov,www.mckinneyssa.com,,Not Functionally Accessible,,Performing Arts|Visual Art &amp; Design,Audition,7084,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,13265
DREAM Charter School,04,M382,232 EAST 103 STREET,NY,10029,,,http://schools.nyc.gov/SchoolPortals/04/M382/default.htm,,1,Manhattan,212-722-0232,0,"PK,0K,01,02,03,04,05,06,07,08",,0,,,,,100,DREAM Charter School (M382),0,1784,-8231495.063,4981196.2482,DREAM CHARTER SCHOOL,1,M382,4,10029,East Harlem South,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,2,36,CHARTER,,,,,,04633
DreamYard Preparatory School,09,X329,240 EAST 172 STREET,NY,10457,,,http://schools.nyc.gov/SchoolPortals/09/X329/default.htm,,2,Bronx,718-410-4242,281,"09,10,11,12,SE",,0.262513248322588,N411,"GROLL, CHRISTOP/Alcoff, Michael",718-935-3074,CGroll@schools.nyc.gov; MAlcoff@schools.nyc.gov,100,DreamYard Preparatory School (X329),2445,2445,-8227790.9267,4988741.3349,DREAMYARD PREPARATORY SCHOOL,2,X329,9,10457,East Concourse - Concourse Village,2445,X329,DreamYard Preparatory School,Bronx,7815,Published,njimenez@dreamyard.com,www.dyprep.org,,Functionally Accessible,,Performing Arts,Limited Unscreened,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,09329
E.S.M.T- I.S. 190,12,X190,1550 CROTONA PARK EAST,NY,10460,,,http://schools.nyc.gov/SchoolPortals/12/X190/default.htm,,2,Bronx,718-620-9423,243,"06,07,08,SE",,0,N608,RUDOLPH RUPNARAIN,718-828-4808,rrupnar@schools.nyc.gov,100,E.S.M.T- I.S. 190 (X190),0,2354,-8225724.3908,4988237.9371,I.S. 190,2,X190,12,10460,Crotona Park East,2354,X190,E.S.M.T- I.S. 190,Bronx,,,,,,,,,,7419,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,12190
Eagle Academy for Young Men,09,X231,4143 THIRD AVENUE,NY,10457,,,http://schools.nyc.gov/SchoolPortals/09/X231/default.htm,,2,Bronx,718-466-8000,558,"06,07,08,09,10,11,12,SE",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Eagle Academy for Young Men (X231),0,2755,-8226195.1707,4989542.3209,EAGLE ACADEMY FOR YOUNG MEN,2,X231,9,10457,Claremont - Bathgate,2755,X231,Eagle Academy for Young Men,Bronx,7711,Published,admissions@eaglebronx.org,www.eaglebronx.org,Male Students Only,Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7435,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,09458
Eagle Academy for Young Men II,23,K644,1137 HERKIMER STREET,NY,11233,,,http://schools.nyc.gov/SchoolPortals/23/K644/default.htm,,3,Brooklyn,718-495-0863,586,"06,07,08,09,10,11,12,SE",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Eagle Academy for Young Men II (K644),0,1571,-8228232.8685,4964965.0652,EAGLE ACADEMY FOR YOUNG MEN II,3,K644,23,11233,Ocean Hill,1571,K644,Eagle Academy for Young Men II,Brooklyn,7854,Published,eagleoceanhill@gmail.com,http://schools.nyc.gov/SchoolPortals/23/K644/default.htm,Male Students Only,Not Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7158,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,23644
Eagle Academy for Young Men III,29,Q327,171-10 LINDEN BOULEVARD,NY,11434,,,http://schools.nyc.gov/SchoolPortals/29/Q327/default.htm,,4,Queens,718-480-2600,467,"06,07,08,09,10,11,SE",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Eagle Academy for Young Men III (Q327),0,2683,-8212971.0768,4966953.397,EAGLE ACADEMY FOR YOUNG MEN III,4,Q327,29,11434,St. Albans,2683,Q327,Eagle Academy for Young Men III,Queens,7928,Published,eagleacademy3@gmail.com,http://schools.nyc.gov/SchoolPortals/29/Q327/default.htm,Male Students Only,Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7364,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,29569
Eagle Academy for Young Men of Harlem,05,M148,6 EDGECOMBE AVENUE,NY,10030,,,http://schools.nyc.gov/SchoolPortals/05/M148/default.htm,,1,Manhattan,212-694-6001,190,"06,07,08,SE",,0,N402,"JIMENEZ, CRISTINA",347-371-0672,MJimenez5@schools.nyc.gov,100,Eagle Academy for Young Men of Harlem (M148),0,2917,-8231782.0436,4985445.9424,Eagle Academy for Young Men of Harlem,1,M148,5,10030,Central Harlem North - Polo Grounds,2917,M148,Eagle Academy for Young Men of Harlem,Manhattan,7522,Published,,http://schools.nyc.gov/SchoolPortals/05/M148/default.htm,Male Students Only,Not Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7194,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,05148
Early Childhood Development Center Kaleidoscope,15,KCMN,165 Prospect Park Southwest,NY,11218,,,,ecdckaleidoscope.com,3,Brooklyn,(718) 436-1421,0,PK,,0,,,,,100,Early Childhood Development Center Kaleidoscope (KCMN),0,940,-8234679.6958,4961481.3231,Early Childhood Development Center Kaleidoscope,3,KCMN,15,11218,Windsor Terrace,940,,,,,,,,,,,,,,1116,KCMN,K,15,Early Childhood Development Center Kaleidoscope,(718) 436-1421,165 Prospect Park Southwest,11218,1,991634,177650,Windsor Terrace,3,3122557,3052750092,12,ecdckaleidoscope@aol.com,NYCEEC,true,1,99,12,NYCEEC,,,ecdckaleidoscope.com,,,
Early Steps Family Center,27,QASN,216 Beach 87th St,NY,11693,,,,vnsny.org,4,Queens,(347) 732-2915,0,PK,,0,,,,,100,Early Steps Family Center (QASN),0,1034,-8216714.3974,4951765.8024,Early Steps Family Center,4,QASN,27,11693,Hammels - Arverne - Edgemere,1034,,,,,,,,,,,,,,1193,QASN,Q,27,Early Steps Family Center,(347) 732-2915,216 Beach 87th St,11693,3,1036465,153570,Hammels - Arverne - Edgemere,4,4303414,4161200006,54,cay141@gmail.com,NYCEEC,true,3,99,54,NYCEEC,,,vnsny.org,,,
Early Sunrise Preschool,29,QALP,18708 Hillside Avenue,NY,11432,,,,,4,Queens,(718) 736-9064,0,PK,,0,,,,,100,Early Sunrise Preschool (QALP),0,209,-8212578.8374,4970333.5654,Early Sunrise Preschool,4,QALP,29,11432,Jamaica,209,,,,,,,,,,,,,,213,QALP,Q,29,Early Sunrise Preschool,(718) 736-9064,18708 Hillside Avenue,11432,1,1046665,199698,Jamaica,4,4212871,4099350031,29,horna21547@aol.com,NYCEEC,true,1,99,29,NYCEEC,DC2975,R0922,,205757012,1,
"Early Sunrise Preschool and Kindergarten, Inc.",29,QASI,187-10 Hillside Avenue,NY,11432,,,,,4,Queens,(718) 736-9064,0,PK,,0,,,,,100,"Early Sunrise Preschool and Kindergarten, Inc. (QASI)",0,562,-8212571.71,4970336.7859,"Early Sunrise Preschool and Kindergarten, Inc.",4,QASI,29,11432,Jamaica,562,,,,,,,,,,,,,,716,QASI,Q,29,"Early Sunrise Preschool and Kindergarten, Inc.",(718) 736-9064,187-10 Hillside Avenue,11432,1,1046683,199706,Jamaica,4,4212872,4099350033,29,horna21547@aol.com,NYCEEC,true,1,99,29,NYCEEC,DC1178,R0736,,205757012,1,
Earth School,01,M364,600 EAST  6 STREET,NY,10009,,,http://schools.nyc.gov/SchoolPortals/01/M364/default.htm,,1,Manhattan,212-477-1735,332,"PK,0K,01,02,03,04,05,SE",,0,N102,"Sheehan, Alison",718-935-3707,ASheehan3@schools.nyc.gov,100,Earth School (M364),0,1774,-8235559.5915,4971729.3947,EARTH SCHOOL,1,M364,1,10009,Lower East Side,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,01325
East Bronx Academy for the Future,12,X271,1716 SOUTHERN BOULEVARD,NY,10460,,,http://schools.nyc.gov/SchoolPortals/12/X271/default.htm,,2,Bronx,718-861-8641,663,"06,07,08,09,10,11,12,SE",,0,N562,"Gambino, Barbara",212-645-5110,BGambin@schools.nyc.gov,100,East Bronx Academy for the Future (X271),0,2400,-8225141.8859,4988304.2032,EAST BRONX ACADEMY FOR THE FUTURE,2,X271,12,10460,Crotona Park East,2400,X271,East Bronx Academy for the Future,Bronx,7728,Published,information@eastbronxacademy.org,www.eastbronxacademy.org,,Functionally Accessible,,Humanities &amp; Interdisciplinary,Limited Unscreened,7444,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,12937
East Bronx Day Care Center,8,XAHL,1113 Colgate Avenue,NY,10472,,,,,2,Bronx,(718) 617-2900,0,PK,,0,,,,,100,East Bronx Day Care Center (XAHL),0,207,-8224465.3251,4986692.4796,East Bronx Day Care Center,2,XAHL,8,10472,Soundview - Bruckner,207,,,,,,,,,,,,,,227,XAHL,X,8,East Bronx Day Care Center,(718) 617-2900,1113 Colgate Avenue,10472,1,1017010,240188,Soundview - Bruckner,2,2023714,2037360001,20,eastbronxdaycare@verizon.net,NYCEEC,true,1,99,20,NYCEEC,DC18943,ACS,,132724087,1,
East Brooklyn Community High School,18,K673,9517 KINGS HIGHWAY,NY,11212,,,http://schools.nyc.gov/SchoolPortals/18/K673/default.htm,,3,Brooklyn,718-927-6880,182,"09,10,11,12,SE",,0,N561,"JONES, DEREK",646-486-8177,DJones19@schools.nyc.gov,100,East Brooklyn Community High School (K673),0,2619,-8228788.3544,4962309.7826,EAST BROOKLYN COMMUNITY HIGH SCHOOL,3,K673,18,11212,Rugby - Remsen Village,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,18673
East Calvary DCC,3,MAVR,1 West 112th Street,NY,10026,,,,eastcalvarydaycare.org,1,Manhattan,(212) 534-5249,0,PK,,0,,,,,100,East Calvary DCC (MAVR),0,210,-8231906.1696,4982669.1535,East Calvary DCC,1,MAVR,3,10026,Central Harlem South,210,,,,,,,,,,,,,,233,MAVR,M,3,East Calvary DCC,(212) 534-5249,1 West 112th Street,10026,1,998516,230204,Central Harlem South,1,1083309,1015960001,29,eastcalvarynursery@yahoo.com,NYCEEC,true,1,99,29,NYCEEC,DC1493,ACS,eastcalvarydaycare.org,131789741,1,
East Elmhurst Community School,30,Q329,26-25 97TH STREET,NY,11369,,,http://schools.nyc.gov/SchoolPortals/30/Q329/default.htm,,4,Queens,718-505-6050,233,"0K,01,02,SE",,0,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,East Elmhurst Community School (Q329),0,2945,-8223391.808,4977235.5109,East Elmhurst Community School,4,Q329,30,11369,East Elmhurst,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,30329
East Flatbush Community Research School,18,K581,905 WINTHROP STREET,NY,11203,,,http://schools.nyc.gov/SchoolPortals/18/K581/default.htm,,3,Brooklyn,718-773-3059,134,"06,07,08,SE",,0,N411,"GROLL, CHRISTOP/Alcoff, Michael",718-935-3074,CGroll@schools.nyc.gov; MAlcoff@schools.nyc.gov,100,East Flatbush Community Research School (K581),0,1536,-8229732.3415,4962156.8457,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,3,K581,18,11203,Prospect  - Lefferts Grdn - Wingate,1536,K581,East Flatbush Community Research School,Brooklyn,,,,,,,,,,7148,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,18581
East Fordham Academy for the Arts,10,X459,120 EAST 184 STREET,NY,10468,,,http://schools.nyc.gov/SchoolPortals/10/X459/default.htm,,2,Bronx,718-220-4185,344,"06,07,08,SE",,0.963796639786781,N534,"Waxman, Ben/OBRIEN, WALTER",212-302-8800,BWaxman@schools.nyc.gov; WObrien@schools.nyc.gov,100,East Fordham Academy for the Arts (X459),2652,2652,-8226547.617,4991637.7696,EAST FORDHAM ACADEMY FOR THE ARTS,2,X459,10,10468,Fordham South,2652,X459,East Fordham Academy for the Arts,Bronx,,,,,,,,,,7495,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,10684
East Harlem Block Nursery 1,4,MAPH,215 East 106th Street,NY,10029,,,,,1,Manhattan,(212) 427-2571,0,PK,,0,,,,,100,East Harlem Block Nursery 1 (MAPH),0,211,-8231401.4988,4981637.7202,East Harlem Block Nursery 1,1,MAPH,4,10029,East Harlem South,211,,,,,,,,,,,,,,234,MAPH,M,4,East Harlem Block Nursery 1,(212) 427-2571,215 East 106th Street,10029,1,999773,227649,East Harlem South,1,1080690,1016560001,20,cviruet@ehbn.org,NYCEEC,true,1,99,20,NYCEEC,DC2153,ACS,,132617274,1,
East Harlem Block Nursery 2,5,MAZL,2112 Madison Avenue,NY,10037,,,,,1,Manhattan,(212) 234-3333,0,PK,,0,,,,,100,East Harlem Block Nursery 2 (MAZL),0,1070,-8230682.3966,4984452.5847,East Harlem Block Nursery 2,1,MAZL,5,10037,East Harlem North,1070,,,,,,,,,,,,,,356,MAZL,M,5,East Harlem Block Nursery 2,(212) 234-3333,2112 Madison Avenue,10037,1,1001557,234624,East Harlem North,1,1081115,1017570001,18,lfuentesehbn@yahoo.com,NYCEEC,true,1,99,18,NYCEEC,,,,,,
East Harlem Center,4,MASK,130 East 101st Street,NY,10029,,,,childrensaidsociety.org,1,Manhattan,(212) 348-2343,0,PK,,0,,,,,100,East Harlem Center (MASK),0,41,-8231999.3252,4981293.8942,East Harlem Center,1,MASK,4,10029,East Harlem South,41,,,,,,,,,,,,,,44,MASK,M,4,East Harlem Center,(212) 348-2343,130 East 101st Street,10029,1,998287,226796,East Harlem South,1,1051816,1016280062,28,jessican@childrensaidsociety.org,NYCEEC,true,1,99,28,NYCEEC,DC3006,ACS,childrensaidsociety.org,135562191,1,
East Harlem CHS Bilingual Head Start - 111th,4,MAWH,30 East 111th Street,NY,10029,,,,,1,Manhattan,(212) 860-7201,0,PK,,0,,,,,100,East Harlem CHS Bilingual Head Start - 111th (MAWH),0,212,-8231796.69,4982409.7405,East Harlem CHS Bilingual Head Start - 111th,1,MAWH,4,10029,East Harlem South,212,,,,,,,,,,,,,,235,MAWH,M,4,East Harlem CHS Bilingual Head Start - 111th,(212) 860-7201,30 East 111th Street,10029,1,998789,229562,East Harlem South,1,1085253,1016160001,49,escuelita116@aol.com,NYCEEC,true,1,99,49,NYCEEC,DC11067,ACS,,136213532,1,
East Harlem CHS Bilingual Head Start Program,4,MAWG,440 East 116th Street,NY,10029,,,,,1,Manhattan,(212) 427-9010,0,PK,,0,,,,,100,East Harlem CHS Bilingual Head Start Program (MAWG),0,213,-8230303.4328,4982182.0776,East Harlem CHS Bilingual Head Start Program,1,MAWG,4,10029,East Harlem North,213,,,,,,,,,,,,,,236,MAWG,M,4,East Harlem CHS Bilingual Head Start Program,(212) 427-9010,440 East 116th Street,10029,1,1002503,229000,East Harlem North,1,1081443,1017090016,100,escuelita116@aol.com,NYCEEC,true,1,99,100,NYCEEC,DC1242,ACS,,136213532,1,
East Harlem Scholars Academy Charter School,04,M518,1573 MADISON AVENUE,NY,10029,,,http://schools.nyc.gov/SchoolPortals/04/M518/default.htm,,1,Manhattan,212-348-2518,0,"0K,01,02,03,04,05",,0,,,,,100,East Harlem Scholars Academy Charter School (M518),0,2830,-8231917.4279,4981928.7339,East Harlem Scholars Academy Charter School,1,M518,4,10029,East Harlem South,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,2,,,,,,,,04518
East Harlem Scholars Academy Charter School II,04,M168,1573 MADISON AVENUE,NY,10029,,,http://schools.nyc.gov/SchoolPortals/04/M168/default.htm,,1,Manhattan,212-348-2518,0,"PK,0K,01,02,03,04,06,07,08,SE",,0,,,,,100,East Harlem Scholars Academy Charter School II (M168),0,2959,-8231954.0274,4982004.4279,East Harlem Scholars Academy Charter School II,1,M168,4,10029,East Harlem South,2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,2,36,CHARTER,,,,,,
East Midwood Hebrew Day School,22,KASZ,1256 East 21st Street,NY,11210,,,,emhds.org,3,Brooklyn,(718) 253-1555,0,PK,,0,,,,,100,East Midwood Hebrew Day School (KASZ),0,563,-8232632.8789,4956824.0764,East Midwood Hebrew Day School,3,KASZ,22,11210,Midwood,563,,,,,,,,,,,,,,717,KASZ,K,22,East Midwood Hebrew Day School,(718) 253-1555,1256 East 21st Street,11210,1,996742,166085,Midwood,3,3208324,3076200057,34,regina2@emhds.org,NYCEEC,true,1,99,34,NYCEEC,DC1785,R0882,emhds.org,113217904,1,
East New York Elementary School of Excellence,19,K677,605 SHEPHERD AVENUE,NY,11208,,,http://schools.nyc.gov/SchoolPortals/19/K677/default.htm,,3,Brooklyn,718-272-6075,573,"PK,0K,01,02,03,04,05,SE",,0,N606,"Palazzo, Petrina",718-794-4907,PPalazz@schools.nyc.gov,100,East New York Elementary School of Excellence (K677),0,2622,-8224212.3374,4963720.7586,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,3,K677,19,11208,East New York,2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,30,DOE,,,,,,19677
East New York Family Academy,19,K409,2057 LINDEN BOULEVARD,NY,11207,,,http://schools.nyc.gov/SchoolPortals/19/K409/default.htm,,3,Brooklyn,718-927-0012,481,"06,07,08,09,10,11,12,SE",,0,N536,"BEIRNE, GERARD/HAYES, NIOBE",212-920-7636,GBeirne@schools.nyc.gov; NHayes2@schools.nyc.gov,100,East New York Family Academy (K409),0,1450,-8225034.0122,4962506.5082,EAST NEW YORK FAMILY ACADEMY,3,K409,19,11207,East New York,1450,K409,East New York Family Academy,Brooklyn,7553,Published,ayard3@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/19/K409/default.htm,,Not Functionally Accessible,,Humanities &amp; Interdisciplinary,Screened,7125,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,19300
East New York Middle School of Excellence,19,K678,605 SHEPHERD AVENUE,NY,11208,,,http://schools.nyc.gov/SchoolPortals/19/K678/default.htm,,3,Brooklyn,718-257-4061,254,"06,07,08,SE",,0,N209,"WILKS, MARLENE",917-520-6743,MWilks@schools.nyc.gov,100,East New York Middle School of Excellence (K678),0,2623,-8224206.3527,4963692.6515,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,3,K678,19,11208,East New York,2623,K678,East New York Middle School of Excellence,Brooklyn,,,,,,,,,,7166,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,19678
East Side Community School,01,M450,420 EAST 12 STREET,NY,10009,,,http://schools.nyc.gov/SchoolPortals/01/M450/default.htm,,1,Manhattan,212-460-8467,670,"06,07,08,09,10,11,12,SE",,0,N113,"Sheehan, Alison",718-935-3707,ASheehan3@schools.nyc.gov,100,East Side Community School (M450),0,1805,-8235678.482,4972488.6667,EAST SIDE COMMUNITY HIGH SCHOOL,1,M450,1,10009,East Village,1805,M450,East Side Community School,Manhattan,7599,Published,tomm@eschs.org,www.eschs.org,Performance Assessment School,Not Functionally Accessible,,Humanities &amp; Interdisciplinary,Screened,7258,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,01420
"East Side Elementary School, PS 267",02,M267,213 EAST 63RD STREET,NY,10065,,,http://schools.nyc.gov/SchoolPortals/02/M267/default.htm,,1,Manhattan,212-888-7848,358,"PK,0K,01,02,03,04,05,SE",,0,N206,"Cordova, Ada",917-339-1488,ACordov@schools.nyc.gov,100,"East Side Elementary School, PS 267 (M267)",0,2686,-8233607.491,4977567.3122,P.S. 267,1,M267,2,10065,Lenox Hill - Roosevelt Island,2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,18,DOE,,,,,,02267
East Side House,7,XAFP,201 Saint Anns Avenue,NY,10454,,,,eastsidehouse.org,2,Bronx,(718) 665-5250,0,PK,,0,,,,,100,East Side House (XAFP),0,65,-8228580.3228,4983758.3139,East Side House,2,XAFP,7,10454,Mott Haven - Port Morris,65,,,,,,,,,,,,,,69,XAFP,X,7,East Side House,(718) 665-5250,201 Saint Anns Avenue,10454,1,1006786,232909,Mott Haven - Port Morris,2,2090985,2022630019,15,dheyward@eastsidehouse.org,NYCEEC,true,1,99,15,NYCEEC,DC352,ACS,eastsidehouse.org,131623989,1,
East Side House,7,XAMT,375 East 143rd Street,NY,10454,,,,eastsidehouse.org,2,Bronx,(718) 292-5335,0,PK,,0,,,,,100,East Side House (XAMT),0,370,-8228878.9676,4984767.7794,East Side House,2,XAMT,7,10454,Mott Haven - Port Morris,370,,,,,,,,,,,,,,415,XAMT,X,7,East Side House,(718) 292-5335,375 East 143rd Street,10454,1,1006041,235409,Mott Haven - Port Morris,2,2091101,2023060009,38,dheyward@eastsidehouse.org,NYCEEC,true,1,99,38,NYCEEC,DC182,ACS,eastsidehouse.org,131623989,1,
East Side House,7,XAMW,200 Alexander Avenue,NY,10454,,,,eastsidehouse.org,2,Bronx,(718) 665-5250,0,PK,,0,,,,,100,East Side House (XAMW),0,532,-8229357.7723,4984201.4638,East Side House,2,XAMW,7,10454,Mott Haven - Port Morris,532,,,,,,,,,,,,,,662,XAMW,X,7,East Side House,(718) 665-5250,200 Alexander Avenue,10454,1,1004851,234005,Mott Haven - Port Morris,2,2091097,2022980040,19,dheyward@eastsidehouse.org,NYCEEC,true,1,99,19,NYCEEC,DC1942,ACS,eastsidehouse.org,131623989,1,
East Side Middle School,02,M114,331 EAST 91ST STREET,NY,10128,,,http://schools.nyc.gov/SchoolPortals/02/M114/default.htm,,1,Manhattan,212-360-0114,444,"06,07,08,SE",,0,N101,"GROLL, CHRISTOP/BOBBISH, REX",212-374-3410,CGroll@schools.nyc.gov; RBobbish@schools.nyc.gov,100,East Side Middle School (M114),0,2720,-8231784.0298,4980003.8947,EAST SIDE MIDDLE SCHOOL,1,M114,2,10128,Yorkville,2720,M114,East Side Middle School,Manhattan,,,,,,,,,,7187,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,02432
East Tremont Child Care and Development Center,12,XAJT,1811 Crotona Avenue,NY,10457,,,,etccdc.com,2,Bronx,(718) 731-4166,0,PK,,0,,,,,100,East Tremont Child Care and Development Center (XAJT),0,214,-8225877.1311,4989234.2187,East Tremont Child Care and Development Center,2,XAJT,12,10457,East Tremont,214,,,,,,,,,,,,,,237,XAJT,X,12,East Tremont Child Care and Development Center,(718) 731-4166,1811 Crotona Avenue,10457,1,1013492,246478,East Tremont,2,2092141,2029440001,36,etccdc@aol.com,NYCEEC,true,1,99,36,NYCEEC,DC1643,ACS,etccdc.com,132710021,1,
